centre,cda,qtr_regs,target,pct_to_target,to_go,per_week,type
Bolton,North CDA,101,96,105,-5,9,centre
Bury,North CDA,77,71,108,-6,11,centre
Rochdale,North CDA,90,80,113,-10,18,centre
Salford Quays,North CDA,147,126,117,-21,37,centre
NORTH CDA,North CDA,415,373,111,-42,74,cda
Altrincham,South CDA,73,73,100,0,0,centre
Denton,South CDA,87,83,105,-4,7,centre
Macclesfield,South CDA,83,81,102,-2,4,centre
Stockport,South CDA,132,135,98,3,-5,centre
SOUTH CDA,South CDA,375,372,101,-3,5,cda
Bradford,WY CDA,79,92,86,13,-23,centre
Huddersfield,WY CDA,97,97,100,0,0,centre
Silsden,WY CDA,30,28,107,-2,4,centre
WY CDA,WY CDA,206,217,95,11,-19,cda
GROUP TOTAL,Group,996,962,104,-34,60,total
